exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,1,FPWW0340139_1,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,2,FPWW0340139_2,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,3,FPWW0340139_3,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,4,FPWW0340139_4,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,5,FPWW0340139_5,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,6,FPWW0340139_6,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,7,FPWW0340139_7,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,8,FPWW0340139_8,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,9,FPWW0340139_9,SFE
FPWW034,FPWW0340139,614,EMBLEM (NEW),1,7,8,139,10,FPWW0340139_10,SFE
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,1,FPWW0340150_1,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,2,FPWW0340150_2,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,3,FPWW0340150_3,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,4,FPWW0340150_4,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,5,FPWW0340150_5,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,6,FPWW0340150_6,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,7,FPWW0340150_7,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,8,FPWW0340150_8,SFH
FPWW034,FPWW0340150,33,AKTEUR,1,7,9,150,9,FPWW0340150_9,SFH
